rank,title,author,category,monthly_tickets,ip_score,ip_grade
420,权力巅峰：从县长秘书开始,番茄你个土豆子,都市,14,47.1971395334758,D
421,大虞明镜司,藏花主人,武侠仙侠,15,47.19472774215069,D
422,乱话西游,火烈虫,玄幻奇幻,13,47.18497104649671,D
423,七个姐姐听到我心声，心态彻底崩了！,神眸,玄幻奇幻,12,47.17866944399535,D
424,扶摇九霄传,遥看远山,玄幻奇幻,9,47.13822929840111,D
425,太平客栈,莫问江湖,武侠仙侠,8,47.11208750782754,D
426,武运昌隆,徐途,武侠仙侠,15,47.100603965103915,D
427,绝代医仙在都市,明珠蒋蒋,都市,12,47.04738794681355,D
428,全球变异，从灾厄降临开始,精英hr,科幻,9,47.010033517095216,D
429,老实人逆袭2003,清风拂墨1,都市,9,46.99411710377906,D
430,宗门破产，我下山无敌！,抹茶鲱鱼,都市,11,46.985751219363706,D
431,布衣首辅,霁雪斋,历史,10,46.97333444791395,D
432,全民求生：开局一个怪物领地,寒潇瑟瑟雨斜斜,N次元,14,46.92686304421852,D
433,儒道帝尊,半缕烟华,玄幻奇幻,14,46.9180782705034,D
434,离婚后，高冷女总裁跪求我原谅,未定义公式,都市,12,46.91131619965983,D
435,高武：我的武道天赋每周刷新,被提线的木偶,都市,12,46.84042455687306,D
436,墨染江山,长安鹤,历史,13,46.82872426054175,D
437,超级反套路系统,佐佐先生,玄幻奇幻,12,46.7984207376549,D
438,我的功法可以吞噬一切,星空圆光,玄幻奇幻,14,46.77680587766354,D
439,重返05：执掌风云,天之原野,都市,13,46.736814429693396,D
440,大明：我重生成了朱允炆,寒梅惊雪,历史,9,46.73334107911138,D
441,春秋王旗,花下一壶酒,武侠仙侠,12,46.68584207451565,D
442,香江财阀：开局收购奥迪，拿下赌王女儿,仔姜炒肉,都市,12,46.635019905807354,D
443,地球被撞后，我持枪纵横末世！,第一叶秋,科幻,11,46.53307848928164,D
444,复仇：带着替身归来,伴云来的风,玄幻奇幻,13,46.51322887150909,D
445,满级传球，从皇马解约成全能球王,国足何时进世界,体育,11,46.36326332462269,D
446,杨氏崛起之啃孙成仙,临轩逸云,武侠仙侠,7,46.24656553957646,D
447,剑仙,金玉龙,武侠仙侠,12,46.19674958741828,D
448,梦魇游戏：举世皆敌，我来狩猎各国,超级可怕三号机,都市,10,46.07420641517682,D
449,大明杀神,浪子边城,历史,10,45.95293980257496,D
450,阴山咒诅,彼岸浮屠,奇闻异事,11,45.89121433690722,D
451,倾天一剑,寰宇小贩,玄幻奇幻,12,45.843509191292775,D
452,黄泉借皮,苗棋淼,奇闻异事,9,45.80789847165369,D
453,暗巷2：凝望,莫白1,都市,10,45.77374492410732,D
454,公子剑：圣女小姐不惜以身相许也要让我上山,辛冰乌龙,武侠仙侠,12,45.73806983227231,D
455,断刃行,别动我黑眼圈,武侠仙侠,9,45.617353699226804,D
456,义盖云天笑三国,沉默行者,武侠仙侠,11,45.5351553906791,D
457,黑神话：身外化身掌握万千兵器,往前一脚泥,玄幻奇幻,11,45.41526647645943,D
458,最强重装,马上有财,科幻,9,45.328831731222024,D
459,大唐小兕子：小囊君，我又给你带好东西啦,卡布丁,历史,11,45.28069753732247,D
460,真武剑尊,月东升岚,玄幻奇幻,11,45.06860174233246,D
461,破屋开局：我在古代娇养小甜妻,逆剑千秋,历史,10,45.0,D
462,生存技能点满，我靠摸鱼抓虾养活妻女,前生盼见,历史,8,45.0,D
