status,title,month,year,word_count,interaction,finance,week_recommend,fans_count,author,popularity,platform,novel_id,category,is_sign,abstract,IP_Score
0,剑仙在此,1,2020,5102580,10135671,11800,54,0,乱世狂刀,96127088,zongheng,907701,玄幻奇幻,1,,90.30632072790786
0,剑来,1,2020,13059580,18728309,16591,5941,16,烽火戏诸侯,353533751,zongheng,672340,武侠仙侠,1,,95.7299402350307
0,医流武神,1,2020,6243629,51053,13068,0,0,潇铭,3865851,zongheng,780601,都市,1,,76.55926950293349
0,神级负二代,1,2020,722158,5268,6547,0,0,太岁炖老龙,1712524,zongheng,906549,都市,1,,69.37042193772776
0,万象天劫,1,2020,1694946,24620,10159,0,0,西门小陆,318996,zongheng,843844,玄幻奇幻,1,,68.16496787576082
0,一剑独尊,1,2020,9540676,20514774,6332,18,2,青鸾峰上,423136005,zongheng,777234,玄幻奇幻,1,,92.63712985878425
0,猎天争锋,1,2020,6360220,526698,4725,136,0,睡秋,13163387,zongheng,841970,玄幻奇幻,1,,78.40590061359299
0,大厨小婿,1,2020,3961788,83910,4449,0,0,烟斗老哥,9793649,zongheng,892247,都市,1,,75.46168240484938
0,逆天邪神,1,2020,7859450,3857449,3444,12671,292,火星引力,339035084,zongheng,408586,玄幻奇幻,1,,87.97470118750897
0,圣武星辰,1,2020,5303707,68415634,2208,0,0,乱世狂刀,425760740,zongheng,682920,玄幻奇幻,1,,89.90342805764394
0,长宁帝军,1,2020,5323806,23363296,2388,1,0,知白,260833700,zongheng,751819,历史,1,,87.76598173322952
0,悍卒斩天,1,2020,7601265,21420,2115,0,0,三青色,4890061,zongheng,868273,玄幻奇幻,1,,69.34242684808125
0,流浪之城,1,2020,2223360,48213,1924,0,0,天府酒客,835532,zongheng,798741,科幻,1,,65.1070998973596
0,碧海风云之谋定天下,1,2020,1571407,97350,1886,0,0,明海山,442208,zongheng,779935,历史,1,,64.06575799211329
0,最强狂兵,1,2020,16822970,2622673,1357,95,0,烈焰滔滔,207715607,zongheng,411993,都市,1,,82.71436864097853
0,巅峰之纪,1,2020,1235791,25433,1353,0,0,把水问青天,420642,zongheng,909334,科幻,1,,61.26159814139328
