status,title,month,year,word_count,interaction,finance,week_recommend,fans_count,author,popularity,novel_id,category,is_sign,abstract,IP_Score,interaction_rate,gold_content,fans_activity,weekly_intensity,word_count_log,popularity_log,interaction_log,finance_log,plat_qidian,plat_zongheng,cat_东方玄幻,cat_修真文明,cat_其他,cat_历史,cat_原生幻想,cat_古典仙侠,cat_幻想修仙,cat_异世大陆,cat_异术超能,cat_时空穿梭,cat_武侠仙侠,cat_玄幻奇幻,cat_科幻,cat_衍生同人,cat_都市,cat_都市生活,title_length,abstract_length,has_abstract
0,巅峰之纪,1,2020,1235791,25433,1353,0,0,把水问青天,420642,909334,科幻,1,,61.26159814139328,0.0604621971600621,10.94844439841009,0.0,0.0,14.027222618048656,12.949539771927626,10.143842140580691,7.21081845347222,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,0,0
0,决不能怂,1,2020,2352750,12329,913,0,0,心情马甲,116069,795334,玄幻奇幻,1,,55.56298297625074,0.1062203842508831,3.880563646556733,0.0,0.0,14.671095839755479,11.661948736362667,9.41979059615839,6.81783057145415,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,0
0,长风一梦入轮回,1,2020,1054257,38972,906,0,0,悟道心,17827240,843230,武侠仙侠,1,,70.20146701923727,0.0021860926208379637,8.593721840384422,0.0,0.0,13.868347759912954,16.69623823866239,10.570624377663842,6.810142450115136,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7,0,0
0,星辰之主,1,2020,7875743,3519904,771,4284,11,减肥专家,16744247,325639,科幻,1,,74.13753520281465,0.21021571109075785,0.9789551310961859,3.1250843417649057e-06,0.0012170783018291688,15.879298214403853,16.63356535427397,15.073944558573716,6.648984550024776,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,0,0
0,剑仙在此,2,2020,5102580,10135671,18964,54,0,乱世狂刀,96127088,907701,玄幻奇幻,1,,92.11345190715886,0.10544031974171193,37.16550506498574,0.0,5.327717787236998e-06,15.445257048111426,18.381181717673577,16.13157164055423,9.850350454123,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,0
0,长宁帝军,2,2020,5323806,23363296,9217,1,0,知白,260833700,751819,历史,1,,92.9094953218531,0.08957161559425943,17.312798904994114,0.0,4.280217813436177e-08,15.487699206900915,19.379393601294144,16.9666768446638,9.128913373280454,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,4,0,0
0,剑来,2,2020,13059580,18728309,11271,5941,16,烽火戏诸侯,353533751,672340,武侠仙侠,1,,94.25730357746684,0.052974599720821,8.630445341240275,8.543216125747598e-07,0.0003172202937691655,16.385032598602645,19.68348951823383,16.745546840771123,9.330077053578517,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2,0,0
0,非洲酋长,2,2020,2042541,689615,7695,0,0,更俗,6974561,927896,都市,1,,78.84717299996363,0.09887574302156896,37.67364392017398,0.0,0.0,14.529705668540375,15.757780088001047,13.44389019991861,8.948455992345542,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,0,0
0,大厨小婿,2,2020,3961788,83910,6202,0,0,烟斗老哥,9793649,892247,都市,1,,76.72683162221435,0.008567796480372486,15.654543944667422,0.0,0.0,15.192206248891138,16.09724477444085,11.33751199232379,8.732788324973118,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,0,0
0,赘婿出山,2,2020,7860552,1861547,4675,68,1,李闲鱼,32105604,926696,都市,1,,82.07218301793874,0.05798199410975124,5.947418712144044,5.371873301145069e-07,3.652873844778647e-05,15.877367518164602,17.28454118344949,14.436918957619193,8.450198322591959,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,0,0
0,医流武神,2,2020,6243629,51053,3290,0,0,潇铭,3865851,780601,都市,1,,71.30617132482331,0.013206144466989424,5.269370542456872,0.0,0.0,15.64707230197509,15.167692655555127,10.840639175077612,8.098946748943339,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,0,0
0,最强狂兵,2,2020,16822970,2622673,2440,95,0,烈焰滔滔,207715607,411993,都市,1,,84.94806996384231,0.01262626831586002,1.4503977923994518,0.0,3.6222572839781076e-05,16.63825583186934,19.15168043286937,14.779704965955316,7.80016307039296,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,0,0
0,焚天路,2,2020,5264819,38399,2297,0,0,洛神雨,1519225,638114,武侠仙侠,1,,67.14215047466979,0.025275370484707346,4.36292218917266,0.0,0.0,15.476557514931601,14.233711552604435,10.555812738575819,7.739794458408701,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3,0,0
0,一剑独尊,2,2020,9540676,20514774,1560,18,2,青鸾峰上,423136005,777234,玄幻奇幻,1,,87.302530290415,0.04848269518335436,1.635104091669805,9.749071096319604e-08,8.774163986687643e-07,16.071075005267204,19.863204212518525,16.836655916213584,7.353081920515432,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,0
0,永生才能不灭,2,2020,2706332,2527,1525,0,0,千年浩劫,229942,881215,武侠仙侠,1,,57.68361611841345,0.010989680051143109,5.634931104191538,0.0,0.0,14.81110514000859,12.345586731104417,7.8351837552667485,7.330405211844402,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6,0,0
0,万象天劫,2,2020,1694946,24620,1520,0,0,西门小陆,318996,843844,玄幻奇幻,1,,60.93093190524937,0.07717940921074493,8.967832032506031,0.0,0.0,14.343162029871241,12.672936977334045,10.111355016297821,7.327123292259293,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,0
0,悍卒斩天,2,2020,7601265,21420,1490,0,0,三青色,4890061,868273,玄幻奇幻,1,,68.00889647297814,0.004380312560454244,1.9601997877721948,0.0,0.0,15.843825370331196,15.402715540307282,9.972127028252816,7.307202314764738,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,0
0,踏星,2,2020,17017670,1348783,854,71,13,随散飘风,130676657,718689,科幻,1,,79.01605314007382,0.010321529649158919,0.5018313022974765,9.638311249243764e-06,5.264000759202363e-05,16.649762832733263,18.688236570449096,14.114714003763165,6.75110146893676,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2,0,0
0,骑士征程,2,2020,10905704,189136,1008,12,0,我爱小豆,12252913,722486,玄幻奇幻,1,,71.25947899894418,0.015436001591131709,0.9242868755389955,0.0,6.344607348112743e-05,16.204796604771662,16.321274344217652,12.150226899176925,6.9167150203536085,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,0
0,星辰之主,2,2020,7875743,3519904,679,4284,11,减肥专家,16744247,325639,科幻,1,,73.65417775794445,0.21021571109075785,0.8621407704465762,3.1250843417649057e-06,0.0012170783018291688,15.879298214403853,16.63356535427397,15.073944558573716,6.522092798170152,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,0,0
0,逆天邪神,2,2020,7859450,3857449,537,12671,292,火星引力,339035084,408586,玄幻奇幻,1,,80.90167982137619,0.011377728060209463,0.6832538303247899,7.56976759258059e-05,0.003284812505670845,15.877227314637707,19.64161415556465,15.16551690137265,6.2878585601617845,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,0
0,巅峰之纪,2,2020,1235791,25433,504,0,0,把水问青天,420642,909334,科幻,1,,57.504725702437895,0.0604621971600621,4.078356228232583,0.0,0.0,14.027222618048656,12.949539771927626,10.143842140580691,6.22455842927536,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,0,0
0,天道新主,2,2020,412296,1941,513,0,0,怪异的芒果,25641,905893,玄幻奇幻,1,,47.396342879067824,0.0756961235473052,12.442486848073113,0.0,0.0,12.929499242413366,10.151986911112646,7.571473648851271,6.2422232654551655,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,0
0,剑仙在此,3,2020,5102580,10135671,26808,54,0,乱世狂刀,96127088,907701,玄幻奇幻,1,,93.43198160470212,0.10544031974171193,52.538117474274294,0.0,5.327717787236998e-06,15.445257048111426,18.381181717673577,16.13157164055423,10.196492931019254,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,0
0,大厨小婿,3,2020,3961788,83910,13233,0,0,烟斗老哥,9793649,892247,都市,1,,79.61328491504149,0.008567796480372486,33.40157691386391,0.0,0.0,15.192206248891138,16.09724477444085,11.33751199232379,9.490544554572004,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,0,0
0,剑来,3,2020,13059580,18728312,21143,5944,16,烽火戏诸侯,353533751,672340,武侠仙侠,1,,96.65342845143569,0.05297460820657372,16.189646513161488,8.543214757250159e-07,0.0003173804282318434,16.385032598602645,19.68348951823383,16.74554700095641,9.959111456284125,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2,0,0
0,非洲酋长,3,2020,2042541,689615,8420,0,0,更俗,6974561,927896,都市,1,,79.19010815431243,0.09887574302156896,41.22314253513514,0.0,0.0,14.529705668540375,15.757780088001047,13.44389019991861,9.038483865029992,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,0,0
0,长宁帝军,3,2020,5323806,23363296,7830,1,0,知白,260833700,751819,历史,1,,92.2883353807662,0.08957161559425943,14.70752038907496,0.0,4.280217813436177e-08,15.487699206900915,19.379393601294144,16.9666768446638,8.965845494750937,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,4,0,0
0,帝道独尊,3,2020,7329541,88189,10989,0,0,一叶青天,12142406,735577,玄幻奇幻,1,,79.53247369293648,0.007262892769119005,14.99275125239749,0.0,0.0,15.8074235889639,16.312214594123912,11.387248856882227,9.304741047397666,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,0
0,都市超级高手,3,2020,3208995,3636594,6683,0,0,赤焰圣歌,42109103,839128,都市,1,,84.8599128641797,0.08636122962863328,20.825828389938785,0.0,0.0,14.981468673596982,17.55577452230547,15.106558362255855,8.807471889715284,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6,0,0
0,最强狂兵,3,2020,16822970,2622673,4592,95,0,烈焰滔滔,207715607,411993,都市,1,,87.35596974552095,0.01262626831586002,2.7296010912697883,0.0,3.6222572839781076e-05,16.63825583186934,19.15168043286937,14.779704965955316,8.432288684325794,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,0,0
0,赘婿出山,3,2020,7860552,1861547,4555,68,1,李闲鱼,32105604,926696,都市,1,,81.97315116036422,0.05798199410975124,5.794757697072967,5.371873301145069e-07,3.652873844778647e-05,15.877367518164602,17.28454118344949,14.436918957619193,8.424200324567073,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,0,0
0,剑道第一仙,3,2020,11314838,855845,3676,20,1,萧瑾瑜,111752199,957220,玄幻奇幻,1,,83.67789505578303,0.00765841746292243,3.2488310262302447,1.1684345080773878e-06,2.3368690161547755e-05,16.241625608048853,18.531794478065066,13.6598457323967,8.209852481301272,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5,0,0
0,永生才能不灭,3,2020,2706332,2527,2643,0,0,千年浩劫,229942,881215,武侠仙侠,1,,59.77732218624124,0.010989680051143109,9.765982235002122,0.0,0.0,14.81110514000859,12.345586731104417,7.8351837552667485,7.880048200971577,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6,0,0
0,御魔老祖,3,2020,523121,1905,3176,0,0,直八,13423,907210,武侠仙侠,1,,52.584458584924256,0.14191001191895114,60.71241507717129,0.0,0.0,13.167569985442407,9.504799428706987,7.552762084214147,8.063692634269517,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4,0,0
0,无敌混沌钟,3,2020,1034881,6547,2615,0,0,夜猫袈腊,102191,862151,玄幻奇幻,1,,58.5651372924812,0.06406568028808517,25.268581345506057,0.0,0.0,13.849797968520175,11.53460867580137,8.786914938491025,7.86940171257709,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5,0,0
0,诗剑飘香,3,2020,1035359,4667,2187,0,0,西江清月,32664,905696,武侠仙侠,1,,54.4801190761134,0.14287463646104392,21.1230876216968,0.0,0.0,13.850259750291093,10.39405944727485,8.448485993406447,7.690743163541872,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4,0,0
0,国医无双,3,2020,2986690,688169,2207,0,0,步履无声,7652363,963767,都市,1,,74.33675122306354,0.08992894221968531,7.389448724357491,0.0,0.0,14.909676643571244,15.850525177673838,13.441791179416283,7.699842407396986,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,0,0
