title,author,category,abstract,status,platform,word_count,popularity,interaction,finance,fans_count,week_recommend
悍卒斩天,三青色,玄幻奇幻,,完结,Zongheng,7601265,4890705,21420,2115,141,0
噬心魔种,记忆在泛滥,玄幻奇幻,,完结,Zongheng,856694,12547,2266,54,121,0
无尽海图,道三生,玄幻奇幻,,完结,Zongheng,2583784,530859,18787,69,168,0
囚仙问道,一只只蛛,武侠仙侠,,完结,Zongheng,1036380,5718,4235,64,26,0
永生才能不灭,千年浩劫,武侠仙侠,,完结,Zongheng,2706332,229943,2527,227,150,0
魔栖梧桐,在下酒盅,玄幻奇幻,,完结,Zongheng,1095011,716007,6044,73,73,0
雨墨修仙传,秋雨伴斜阳,玄幻奇幻,,完结,Zongheng,2208444,72732,12181,98,284,0
追星逐月,金日昆仑,武侠仙侠,,完结,Zongheng,1570669,344697,11641,59,310,0
帝道为王,大鱼吃萝卜,玄幻奇幻,,完结,Zongheng,1295360,5682,488,147,26,0
灯影山河,长安肆少,都市,,完结,Zongheng,725650,452479,66233,127,20,0
踏破太古,易水川,玄幻奇幻,,完结,Zongheng,2614930,246138,11613,142,66,0
斩云纪,迪卢厄尔,玄幻奇幻,,完结,Zongheng,1137021,17342,1340,89,10,0
这个世界太危险,虎皮鹦鹉,玄幻奇幻,,完结,Zongheng,1065770,21014,3043,56,9,0
安晴传说,公孙可耐,玄幻奇幻,,完结,Zongheng,1243741,4616,1126,44,63,0
大厨小婿,烟斗老哥,都市,,完结,Zongheng,3961788,9796500,83910,4449,1632,0
横刀行,落词,历史,,完结,Zongheng,1000529,42981,2875,62,21,0
天地战记,晴天鱼米,玄幻奇幻,,完结,Zongheng,2005676,417202,5771,174,180,0
灵道通宝,奈何花以落,玄幻奇幻,,完结,Zongheng,1079428,7581,550,78,43,0
无量你个大天尊,白芲,武侠仙侠,,完结,Zongheng,1131251,4081913,4841,65,35,0
基因密码,提壶灌顶,科幻,,完结,Zongheng,661669,7356101,18341,242,321,0
凶灵秘闻录,北极猎手,奇闻异事,,完结,Zongheng,9852661,3155721,71914,120,495,11
我从太空归来,院子里的竹子,科幻,,完结,Zongheng,1048440,96065,1884,191,13,0
安启群侠录,一手闲人,武侠仙侠,,完结,Zongheng,642580,27616,3319,87,44,0
十三皇子,壹两二锅头,历史,,完结,Zongheng,1309495,239218,8740,60,107,0
超品赘婿,了无忧,都市,,完结,Zongheng,2000315,660935,6370,100,38,0
风吹春又生,文念,历史,,完结,Zongheng,284642,127134,4787,173,275,0
诗剑飘香,西江清月,武侠仙侠,,完结,Zongheng,1035359,32664,4667,151,133,0
天道新主,怪异的芒果,玄幻奇幻,,完结,Zongheng,412296,25641,1941,71,12,0
通天鸿徒,苏D健身,玄幻奇幻,,完结,Zongheng,1526540,76110,5886,60,123,0
神级负二代,太岁炖老龙,都市,,完结,Zongheng,722158,1712524,5268,6547,34,0
御魔老祖,直八,武侠仙侠,,完结,Zongheng,523121,13423,1905,340,48,0
剑仙在此,乱世狂刀,玄幻奇幻,,完结,Zongheng,5102580,96128152,10135716,11800,2894,36
巅峰之纪,把水问青天,科幻,,完结,Zongheng,1235791,420649,25433,1353,36,0
理想之国,蓝小雨不点,N次元,,完结,Zongheng,406002,1131675,3071,56,20,0
仙游四海,梦之忧伤,武侠仙侠,,完结,Zongheng,1323097,65880,6434,72,184,0
世界探宝异闻录,轻雨初晨,奇闻异事,,完结,Zongheng,1081691,32827,7478,217,20,0
遣返者的游戏,泓森,玄幻奇幻,,完结,Zongheng,2045940,18810972,2778938,297,768,0
吾有一颗成帝心,宇轩有羊,玄幻奇幻,,完结,Zongheng,190749,12643,752,47,36,0
边城诡事,洛疑,奇闻异事,,完结,Zongheng,729060,17034,1688,85,58,0
逐世启示录,空心泪,科幻,,完结,Zongheng,671344,39231,672,114,8,0
太荒吞天诀,铁马飞桥,玄幻奇幻,,连载,Zongheng,14787195,91328152,204833,159,10066,969
全音阶狂潮,灵宇,都市,,连载,Zongheng,7285162,6187472,1317485,90,1218,116
仙都,陈猿,玄幻奇幻,,连载,Zongheng,5841689,7245814,436460,137,617,121
雪中悍刀行,烽火戏诸侯,玄幻奇幻,,完结,Zongheng,4615353,122877682,10739808,99,15230,56
祭炼山河,食堂包子,玄幻奇幻,,完结,Zongheng,6898752,411543996,33736783,59,589,0
星辰之主,减肥专家,科幻,,连载,Zongheng,7896999,16788663,3523637,679,3135,3011
最强狂兵,烈焰滔滔,都市,,完结,Zongheng,16822970,207730062,2622758,2440,0,68
踏天争仙,三生万物,玄幻奇幻,,完结,Zongheng,8007941,2525363,149037,70,78,2
剑道通神,六道沉沦,玄幻奇幻,,完结,Zongheng,10599019,9685615,135412,35,589,0
天刑纪,曳光,武侠仙侠,,完结,Zongheng,4984428,2085596,187649,57,331,0
一世独尊,月如火,玄幻奇幻,,完结,Zongheng,7830380,28780513,243050,132,4467,8
一剑倾国,一介白衣,武侠仙侠,,完结,Zongheng,4822439,696979,43265,117,210,0
天降鬼才,武异,玄幻奇幻,,连载,Zongheng,12504929,1546109,107287,71,319,15
最强逆袭,关中老人,都市,,完结,Zongheng,3950697,508948040,40672843,86,1850,0
焚天路,洛神雨,武侠仙侠,,完结,Zongheng,5264819,1519241,38399,2297,432,0
贴身家丁,紫微,历史,,完结,Zongheng,7684687,3215255,24692,63,207,0
剑来,烽火戏诸侯,武侠仙侠,,连载,Zongheng,13059580,353686245,18733414,11271,158296,4057
末日崛起,太极阴阳鱼,科幻,,连载,Zongheng,7991075,5553990,425137,46,372,7
大明春色,西风紧,历史,,完结,Zongheng,3122995,10963560,537011,409,1990,0
元尊,天蚕土豆,玄幻奇幻,,完结,Zongheng,3792308,859615907,727911,139,17628,68
平天策,无罪,武侠仙侠,,完结,Zongheng,3026812,103751196,12674907,239,1674,0
大周王侯,大苹果,历史,,完结,Zongheng,5916852,1693699,46449,39,148,0
神级奶爸,单王张,都市,,完结,Zongheng,6756263,14327378,100281,87,1454,0
骑士征程,我爱小豆,玄幻奇幻,,完结,Zongheng,10905704,12255095,189146,1008,1707,8
猎户出山,阳子下,都市,,完结,Zongheng,6322015,2970668,41977,32,330,1
点道为止,梦入神机,都市,,完结,Zongheng,3016365,410656602,101075472,167,1942,82
狂暴逆袭,罗玛,玄幻奇幻,,连载,Zongheng,8090044,5413528,248187,192,874,0
帝道独尊,一叶青天,玄幻奇幻,,完结,Zongheng,7329541,12143209,88189,265,1000,0
我不会武功,轻浮你一笑,玄幻奇幻,,完结,Zongheng,6811749,6251438,50624,75,324,41
宋疆,青叶7,历史,,完结,Zongheng,5848361,2094412,48373,47,188,0
大华恩仇引,梅远尘,武侠仙侠,,连载,Zongheng,1144710,378382,25908,46,328,0
校园修仙武神,天山剑主,都市,,连载,Zongheng,4784447,3583508,367646,77,32,0
长宁帝军,知白,历史,,完结,Zongheng,5323806,260838759,23363296,9217,2486,0
