title,author_name,word_count,month_tickets,total_recommendation_count,status,category_name,platform,engagement_score
战锤：以涅槃之名,群鸦之潮,6368700.0,1069,134900,连载,奇幻,Qidian,1.6758900716446925
我的设定在你之上！,东山余雨,796600.0,676,21100,连载,奇幻,Qidian,8.380857922142326
谁把遗言落这了？,南山予鹿,746900.0,911,27700,连载,奇幻,Qidian,12.035936054961025
万国之国,九鱼,2098000.0,1282,114300,连载,奇幻,Qidian,6.081593927893738
从加点开始无限进化,梦笔惊鸿,1049600.0,568,21200,连载,奇幻,Qidian,5.360513401283503
绝夜之旅,Andlao,715200.0,2086,49300,连载,奇幻,Qidian,28.764478764478767
妈，咱家还要地不要？,麻烦,399799.0,811,8484,连载,奇幻,Qidian,19.79018982476775
狗头人的巫师日志,立寸山,1281699.0,1009,81199,连载,奇幻,Qidian,7.811417365810455
幽魂骑士王的地下城工程,深海鱼缸,647800.0,1622,25900,连载,奇幻,Qidian,24.657950744907268
矢车菊魔女,青空乐章,697099.0,1455,62400,连载,奇幻,Qidian,20.577033767548816
凛冬领主：从每日情报开始,豆浆配牛排,1463800.0,917,19100,连载,奇幻,Qidian,6.22201112769711
天启预报,风月,6297600.0,680,2200200,完本,奇幻,Qidian,1.0780645570422982
玄鉴仙族,季越人,5076900.0,67128,4458400,连载,仙侠,Qidian,131.96249189093555
借剑,幼儿园一把手,1057200.0,25437,353500,连载,仙侠,Qidian,238.35269865067465
山河稷,姬叉,1961800.0,53368,840500,连载,仙侠,Qidian,270.65625316969266
没钱修什么仙？,熊狼狗,2712900.0,77213,2616300,连载,仙侠,Qidian,283.5689889456094
赤心巡天,情何以甚,10407400.0,22285,7420700,连载,仙侠,Qidian,21.39209399658264
仙工开物,蛊真人,2740200.0,5813,3056100,连载,仙侠,Qidian,21.1366446076649
山海提灯,跃千愁,2413400.0,7996,1655200,连载,仙侠,Qidian,32.99496575059833
俗仙,流浪的蛤蟆,937900.0,6672,459500,连载,仙侠,Qidian,70.38717164257832
红尘尸仙,一荷知夏,1598600.0,5052,207300,连载,仙侠,Qidian,31.406191719507643
仙人消失之后,风行水云间,6301300.0,4948,62712800,连载,仙侠,Qidian,7.8399061999904935
仙道尽头,怕辣的红椒,868500.0,11723,141700,连载,仙侠,Qidian,133.44336937962436
凡人修仙传,忘语,7675900.0,2741,15981800,完本,仙侠,Qidian,3.566270703496012
阵问长生,观虚,5605200.0,3716,661400,连载,仙侠,Qidian,6.617751816498076
魔修,白特慢啊,452299.0,10214,43200,连载,仙侠,Qidian,220.93926225235182
西游：拦路人！,九月病句,501200.0,4834,59300,连载,仙侠,Qidian,94.56181533646323
蜀山镇世地仙,东海镇守,2023400.0,5738,357900,连载,仙侠,Qidian,28.218746926330283
不是吧君子也防,阳小戎,4352600.0,1416,449500,连载,仙侠,Qidian,3.2457708705817634
乌龙山修行笔记,八宝饭,2079900.0,3805,741800,连载,仙侠,Qidian,18.206612756591223
从武林门派到长生仙门,任我笑,596200.0,6167,37700,连载,仙侠,Qidian,101.73210161662819
仙业,鹓扶君,2247600.0,4206,464200,连载,仙侠,Qidian,18.63040396881644
重启人生,王梓钧,1932200.0,6663,929800,连载,都市,Qidian,34.30645659561322
捞尸人,纯洁滴小龙,4699600.0,147944,5132000,连载,都市,Qidian,314.1328350603024
