title,author_name,word_count,month_tickets,total_recommendation_count,status,category_name,platform,engagement_score,cluster,tier
说好当闲散赘婿，你陆地神仙？,卫四月,1168600.0,4368,47400,连载,玄幻,Qidian,37.06091973527914,1,C级普通
历史病了,晨色暮鸦,1363100.0,1797,152200,连载,玄幻,Qidian,13.087175005462091,1,C级普通
人族镇守使,白驹易逝,11667600.0,1820,14989000,连载,玄幻,Qidian,1.5585394259094334,2,B级腰部
从修改呼吸法开始成圣,努力吃鱼,6880599.0,979,5495900,连载,玄幻,Qidian,1.4207763359905283,2,B级腰部
道爷要飞升,裴屠狗,2886700.0,498,884800,连载,玄幻,Qidian,1.7191977077363896,1,C级普通
天命皆烬,阴天神隐,3442200.0,1567,486500,连载,玄幻,Qidian,4.539134464978853,1,C级普通
从五禽拳开始肉身成圣,江上景,2857799.0,1780,81400,连载,玄幻,Qidian,6.206850619586659,1,C级普通
祭祀百年，我成了部落先祖,山人有妙计,2110600.0,1747,64000,连载,玄幻,Qidian,8.238234461944733,1,C级普通
开局签到荒古圣体,J神,9654900.0,235,390000,连载,玄幻,Qidian,0.2431478856480667,2,B级腰部
万相之王,天蚕土豆,4790500.0,644,1516000,连载,玄幻,Qidian,1.341526924278721,1,C级普通
至圣先师他太稳重了,八月飞鹰,1414199.0,1840,125100,连载,玄幻,Qidian,12.919542844785031,1,C级普通
高武：从武道生到宇宙天尊,冰红茶和可乐,3940600.0,747,63500,连载,玄幻,Qidian,1.8908520224775984,1,C级普通
乱武从拜入武馆开始,景全,706000.0,2122,13200,连载,玄幻,Qidian,29.63687150837989,1,C级普通
锦衣无双,荣小荣,764900.0,1499,83000,连载,玄幻,Qidian,19.344431539553494,1,C级普通
我咋就天下无敌了,新丰,1044100.0,600,28800,连载,玄幻,Qidian,5.692059576890238,1,C级普通
末法时代的长生武圣,月中阴,2474500.0,991,45100,连载,玄幻,Qidian,3.988730126786074,1,C级普通
人间太岁神！,五方行尽,575200.0,1355,55700,连载,玄幻,Qidian,23.15447710184552,1,C级普通
牧神记,宅猪,5911799.0,507,15515900,完本,玄幻,Qidian,0.8561587450029966,2,B级腰部
普罗之主,沙拉古斯,4484500.0,862,695100,完本,玄幻,Qidian,1.9178996551340528,1,C级普通
江湖都是前女友？,驾舟圣手,1590300.0,1086,19700,连载,玄幻,Qidian,6.786227582328314,1,C级普通
晦朔光年,翔炎,1431100.0,490,88400,连载,玄幻,Qidian,3.400180417736451,1,C级普通
有诡,白刃斩春风,1770600.0,1384,253500,连载,玄幻,Qidian,7.7726609008199485,1,C级普通
人在遮天，抽卡成帝,方蛟,1595500.0,311,21200,连载,玄幻,Qidian,1.9370912488321397,1,C级普通
掌门师伯新收了个女徒弟,三行的书哟,2897200.0,857,3738800,连载,玄幻,Qidian,2.947853604843148,1,C级普通
乱世书,姬叉,3003700.0,452,1476600,完本,玄幻,Qidian,1.4998175000829546,1,C级普通
纯阳！,南北宗源,2255000.0,817,65199,连载,玄幻,Qidian,3.607064017660045,1,C级普通
欢迎来到诡诞游戏,酒月剑仙,2274400.0,789,42900,连载,玄幻,Qidian,3.453860970057783,1,C级普通
苟出一个武道天家,我爱吃鸡枞,736400.0,754,8927,连载,玄幻,Qidian,10.10182207931404,1,C级普通
一世之尊,爱潜水的乌贼,4447900.0,804,3272799,完本,玄幻,Qidian,1.803539783306041,1,C级普通
模拟成真，我曾俯视万古岁月？,舟中落雨声,2406700.0,896,4975300,连载,玄幻,Qidian,3.707535068481814,1,C级普通
圣墟,辰东,6132300.0,297,32004699,完本,玄幻,Qidian,0.4835322273415495,2,B级腰部
斗破之魂族妖女,清渊渊,2624200.0,916,117500,连载,玄幻,Qidian,3.4773365727735173,1,C级普通
道起五脏观：我在九十年代当天师,荆山出玉,1064000.0,505,20000,连载,玄幻,Qidian,4.702048417132215,1,C级普通
你也不想秘密满朝皆知吧,十万菜团,460900.0,950,11800,连载,玄幻,Qidian,20.174134635803775,1,C级普通
完美世界,辰东,6584500.0,400,7202800,完本,玄幻,Qidian,0.6065660777920995,2,B级腰部
错练邪功，法天象地,剑飞暴雨中,2289300.0,272,97300,连载,玄幻,Qidian,1.1829687296133606,1,C级普通
太平令,阎ZK,3325100.0,631,550600,完本,玄幻,Qidian,1.8919972414620247,1,C级普通
一夕千悟，从杂役弟子开始,歪歪小虫,2764400.0,275,29300,连载,玄幻,Qidian,0.9912053056516724,1,C级普通
序列：八道横行,国产达闻西,1107800.0,1199,57600,连载,玄幻,Qidian,10.72642691000179,1,C级普通
剑气朝天,净无痕,1278700.0,322,94700,连载,玄幻,Qidian,2.498642042368278,1,C级普通
神话绘卷师：开局财神赵公明,司晨啼晓,1449300.0,812,19700,连载,玄幻,Qidian,5.564311656273556,1,C级普通
我的天道版本太低，所以全是漏洞,养姬人,2500300.0,532,41000,连载,玄幻,Qidian,2.11926861331315,1,C级普通
苟在修仙世界练武长生,牧童听竹,697000.0,866,16600,连载,玄幻,Qidian,12.248939179632249,1,C级普通
万古神帝,飞天鱼,14548699.0,250,2156200,完本,玄幻,Qidian,0.1717186405186342,2,B级腰部
祥子修仙记,边界2004,887300.0,606,23800,连载,玄幻,Qidian,6.753594115680374,1,C级普通
民俗从丧葬一条龙开始,馗爷996,835900.0,840,12000,连载,玄幻,Qidian,9.93025180281357,1,C级普通
我的属性修行人生,滚开,2402300.0,202,1386699,完本,玄幻,Qidian,0.8373751191808648,1,C级普通
武道无穷，吾身无拘,猿子,1466000.0,237,12900,连载,玄幻,Qidian,1.6056910569105691,1,C级普通
横推武道：从龟息大法开始,莫奕琯,5176799.0,262,67600,连载,玄幻,Qidian,0.505128500256131,1,C级普通
女侠且慢,关关公子,3035299.0,324,1311900,完本,玄幻,Qidian,1.0639349370948468,1,C级普通
长生，从肝进度条开始逆天改命,行为金融,2374200.0,393,43400,连载,玄幻,Qidian,1.6483516483516485,1,C级普通
大周文圣,百里玺,1413500.0,452,69200,连载,玄幻,Qidian,3.175272216368107,1,C级普通
民俗从傩戏班子开始,夜半探窗,931200.0,682,42200,连载,玄幻,Qidian,7.246068848278792,1,C级普通
神诡制卡师：开局百鬼夜行,平欧子,1625400.0,446,60000,连载,玄幻,Qidian,2.7271615506909628,1,C级普通
娘子，你不会真的给我下药了吧,桃公旺,4495400.0,202,36050900,连载,玄幻,Qidian,0.4483508678474719,2,B级腰部
道君，从蓬莱筑基开始,临渊今天一定更,4077700.0,459,84200,连载,玄幻,Qidian,1.1228808376348558,1,C级普通
我于人间证不朽,夜南听风,894100.0,285,39300,连载,玄幻,Qidian,3.152306160822918,1,C级普通
